survived,pclass,sex,sex(LE),age,sibsp,parch,fare,embarked,embarked,class,class,who,who,adult_male,embark_town,embark_town,alive,alive,alone
1,3,male,1,3,4,2,31.4,S,2,Third,2,child,0,FALSE,Southampton,2,yes,1,FALSE
0,1,male,1,52,1,1,79.7,S,2,First,0,man,1,TRUE,Southampton,2,no,0,FALSE
0,1,male,1,40,0,0,0.0,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,28,0,0,7.8,Q,1,Third,2,woman,2,FALSE,Queenstown,1,no,0,TRUE
0,2,male,1,36,0,0,10.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,16,4,1,39.7,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
1,3,male,1,25,1,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,FALSE
1,1,female,0,58,0,1,153.5,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,1,female,0,35,0,0,135.6,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,1,male,1,28,0,0,31.0,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,male,1,25,0,0,0.0,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
1,2,female,0,41,0,1,19.5,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,1,male,1,37,0,1,29.7,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,FALSE
1,3,female,0,28,0,0,7.8,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
1,1,female,0,63,1,0,78.0,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,female,0,45,0,0,7.8,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,TRUE
0,2,male,1,28,0,0,0.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,7,4,1,29.1,Q,1,Third,2,child,0,FALSE,Queenstown,1,no,0,FALSE
1,3,female,0,35,1,1,20.3,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,65,0,0,7.8,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
0,3,male,1,28,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,16,0,0,9.5,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,male,1,19,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
0,1,male,1,28,0,0,26.0,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,33,0,0,8.7,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
1,3,male,1,30,0,0,9.5,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,male,1,22,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,male,1,42,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,yes,1,TRUE
1,3,female,0,22,0,0,7.8,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
1,1,female,0,26,0,0,78.9,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,1,female,0,19,1,0,91.1,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
0,2,male,1,36,0,0,12.9,C,0,Second,1,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,3,female,0,24,0,0,8.9,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,TRUE
0,3,male,1,24,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,28,0,0,27.7,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,3,male,1,23.5,0,0,7.2,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,1,female,0,2,1,2,151.6,S,2,First,0,child,0,FALSE,Southampton,2,no,0,FALSE
1,1,male,1,28,0,0,30.5,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,TRUE
1,1,female,0,50,0,1,247.5,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
1,3,female,0,28,0,0,7.8,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
1,3,male,1,28,2,0,23.3,Q,1,Third,2,man,1,TRUE,Queenstown,1,yes,1,FALSE
0,3,male,1,19,0,0,0.0,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,female,0,28,0,0,12.4,Q,1,Second,1,woman,2,FALSE,Queenstown,1,yes,1,TRUE
0,3,male,1,28,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,male,1,0.92,1,2,151.6,S,2,First,0,child,0,FALSE,Southampton,2,yes,1,FALSE
1,1,female,0,28,0,0,110.9,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
1,1,female,0,17,1,0,108.9,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
0,2,male,1,30,1,0,24.0,C,0,Second,1,man,1,TRUE,Cherbourg,0,no,0,FALSE
1,1,female,0,30,0,0,56.9,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
1,1,female,0,24,0,0,83.2,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
1,1,female,0,18,2,2,262.4,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
0,2,female,0,26,1,1,26.0,S,2,Second,1,woman,2,FALSE,Southampton,2,no,0,FALSE
0,3,male,1,28,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,43,1,1,26.3,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,FALSE
1,3,female,0,26,0,0,7.9,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,2,female,0,24,1,0,26.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,2,male,1,54,0,0,14.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,female,0,31,0,2,164.9,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,1,female,0,40,1,1,134.5,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
0,3,male,1,22,0,0,7.3,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,27,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,female,0,30,0,0,12.4,Q,1,Second,1,woman,2,FALSE,Queenstown,1,yes,1,TRUE
1,2,female,0,22,1,1,29.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,28,8,2,69.6,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
1,1,female,0,36,0,0,135.6,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
0,3,male,1,61,0,0,6.2,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,female,0,36,0,0,13.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,3,female,0,31,1,1,20.5,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,1,female,0,16,0,1,58.0,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
1,3,female,0,28,2,0,23.3,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,FALSE
0,1,male,1,45.5,0,0,28.5,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,38,0,1,153.5,S,2,First,0,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,16,2,0,18.0,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
1,1,female,0,28,1,0,133.7,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,28,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,29,1,0,66.6,S,2,First,0,man,1,TRUE,Southampton,2,no,0,FALSE
1,1,female,0,41,0,0,134.5,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
1,3,male,1,45,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
0,1,male,1,45,0,0,35.5,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,male,1,2,1,1,26.0,S,2,Second,1,child,0,FALSE,Southampton,2,yes,1,FALSE
1,1,female,0,24,3,2,263.0,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,2,male,1,28,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,25,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,36,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,female,0,24,0,0,13.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,2,female,0,40,0,0,13.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,3,female,0,28,1,0,16.1,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,3,male,1,3,1,1,15.9,S,2,Third,2,child,0,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,42,0,0,8.7,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,23,0,0,9.2,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,28,0,0,35.0,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,15,1,1,7.2,C,0,Third,2,child,0,FALSE,Cherbourg,0,no,0,FALSE
0,3,male,1,25,1,0,17.8,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,28,0,0,7.2,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,3,male,1,28,0,0,9.5,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,female,0,22,0,1,55.0,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,2,female,0,38,0,0,13.0,S,2,Second,1,woman,2,FALSE,Southampton,2,no,0,TRUE
1,3,female,0,28,0,0,7.9,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
1,3,female,0,28,0,0,7.9,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
0,3,male,1,40,1,4,27.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,2,male,1,29,1,0,27.7,C,0,Second,1,man,1,TRUE,Cherbourg,0,no,0,FALSE
0,3,female,0,45,0,1,14.5,C,0,Third,2,woman,2,FALSE,Cherbourg,0,no,0,FALSE
0,3,male,1,35,0,0,7.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,1,0,15.5,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,FALSE
0,3,male,1,30,0,0,7.3,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,female,0,60,1,0,75.3,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
1,3,female,0,28,0,0,7.2,C,0,Third,2,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
1,3,female,0,28,0,0,7.8,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
1,1,female,0,24,0,0,69.3,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
1,1,male,1,25,1,0,55.4,C,0,First,0,man,1,TRUE,Cherbourg,0,yes,1,FALSE
0,3,male,1,18,1,0,6.5,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,19,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,22,0,0,135.6,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,3,female,0,3,3,1,21.1,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
1,1,female,0,28,1,0,82.2,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
1,3,female,0,22,0,0,7.3,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,1,male,1,27,0,2,211.5,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,FALSE
0,3,male,1,20,0,0,4.0,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,3,male,1,19,0,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,female,0,42,0,0,227.5,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
1,3,female,0,1,0,2,15.7,C,0,Third,2,child,0,FALSE,Cherbourg,0,yes,1,FALSE
0,3,male,1,32,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,female,0,35,1,0,52.0,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,28,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,18,0,0,73.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,1,5,2,46.9,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
1,2,female,0,36,0,0,13.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,3,male,1,28,0,0,7.7,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
1,2,female,0,17,0,0,12.0,C,0,Second,1,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
1,1,male,1,36,1,2,120.0,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,FALSE
1,3,male,1,21,0,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,male,1,28,2,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
1,1,female,0,23,1,0,113.3,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
1,3,female,0,24,0,2,16.7,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,22,0,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,31,0,0,7.9,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,TRUE
0,2,male,1,46,0,0,26.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,23,0,0,10.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,female,0,28,0,0,12.7,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,3,male,1,39,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,male,1,26,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,21,1,0,9.8,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
0,3,male,1,28,1,0,15.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,female,0,20,0,0,8.7,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,TRUE
0,2,male,1,34,1,0,21.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,51,0,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,male,1,3,1,1,18.8,S,2,Second,1,child,0,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,21,0,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,28,3,1,25.5,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
0,3,male,1,28,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,6.9,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
1,1,female,0,33,1,0,90.0,Q,1,First,0,woman,2,FALSE,Queenstown,1,yes,1,FALSE
0,2,male,1,28,0,0,0.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,male,1,44,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,female,0,28,0,0,8.1,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,TRUE
1,2,female,0,34,1,1,32.5,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,2,female,0,18,0,2,13.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,2,male,1,30,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,10,0,2,24.2,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
0,3,male,1,28,0,0,7.9,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,3,male,1,21,0,0,7.7,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
0,3,male,1,29,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,28,1,1,14.4,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
0,3,male,1,18,1,1,20.2,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,28,0,0,7.3,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,female,0,28,1,0,26.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,2,female,0,19,0,0,26.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,3,male,1,28,0,0,7.8,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
1,3,male,1,32,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
1,1,male,1,28,0,0,26.6,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,TRUE
1,3,female,0,28,1,0,16.1,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,2,female,0,42,1,0,26.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,17,0,0,7.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,50,1,0,55.9,S,2,First,0,man,1,TRUE,Southampton,2,no,0,FALSE
1,1,female,0,14,1,2,120.0,S,2,First,0,child,0,FALSE,Southampton,2,yes,1,FALSE
0,3,female,0,21,2,2,34.4,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
1,2,female,0,24,2,3,18.8,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,1,male,1,64,1,4,263.0,S,2,First,0,man,1,TRUE,Southampton,2,no,0,FALSE
0,2,male,1,31,0,0,10.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,female,0,45,1,1,26.3,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,20,0,0,9.5,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,25,1,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
1,2,female,0,28,0,0,13.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,3,male,1,28,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
1,1,male,1,4,0,2,81.9,S,2,First,0,child,0,FALSE,Southampton,2,yes,1,FALSE
1,2,female,0,13,0,1,19.5,S,2,Second,1,child,0,FALSE,Southampton,2,yes,1,FALSE
1,1,male,1,34,0,0,26.6,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,TRUE
1,3,female,0,5,2,1,19.3,C,0,Third,2,child,0,FALSE,Cherbourg,0,yes,1,FALSE
1,1,male,1,52,0,0,30.5,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,TRUE
0,2,male,1,36,1,2,27.8,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,28,1,0,20.0,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,1,male,1,30,0,0,27.8,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,TRUE
1,1,male,1,49,1,0,89.1,C,0,First,0,man,1,TRUE,Cherbourg,0,yes,1,FALSE
0,3,male,1,28,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,male,1,29,0,0,7.9,C,0,Third,2,man,1,TRUE,Cherbourg,0,yes,1,TRUE
0,1,male,1,65,0,0,26.6,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,female,0,28,1,0,51.9,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,2,female,0,50,0,0,10.5,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,3,male,1,28,0,0,7.8,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
1,1,male,1,48,0,0,26.6,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,male,1,34,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,47,0,0,38.5,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,48,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,38,0,0,7.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,28,0,0,0.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,56,0,0,26.6,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,7.7,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
1,3,female,0,0.75,2,1,19.3,C,0,Third,2,child,0,FALSE,Cherbourg,0,yes,1,FALSE
0,3,male,1,28,0,0,7.3,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,38,0,0,8.7,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,female,0,33,1,2,27.8,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,2,female,0,23,0,0,13.8,C,0,Second,1,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
0,3,female,0,22,0,0,9.8,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,TRUE
0,1,male,1,28,0,0,52.0,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,34,1,0,21.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,29,1,0,7.0,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,22,0,0,7.5,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,female,0,2,0,1,12.3,S,2,Third,2,child,0,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,9,5,2,46.9,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
0,2,male,1,28,0,0,0.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,50,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,female,0,63,0,0,9.6,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,1,male,1,25,1,0,91.1,C,0,First,0,man,1,TRUE,Cherbourg,0,yes,1,FALSE
0,3,female,0,28,3,1,25.5,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
1,1,female,0,35,1,0,90.0,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,1,male,1,58,0,0,29.7,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,3,male,1,30,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,male,1,9,1,1,15.9,S,2,Third,2,child,0,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,28,1,0,20.0,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,21,0,0,7.3,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,55,0,0,30.5,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,71,0,0,49.5,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,3,male,1,21,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,14.5,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
1,1,female,0,54,1,0,78.3,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
0,3,male,1,28,0,0,15.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,female,0,25,1,2,151.6,S,2,First,0,woman,2,FALSE,Southampton,2,no,0,FALSE
0,3,male,1,24,0,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,17,0,0,8.7,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,21,0,0,7.8,Q,1,Third,2,woman,2,FALSE,Queenstown,1,no,0,TRUE
0,3,female,0,28,0,0,7.6,Q,1,Third,2,woman,2,FALSE,Queenstown,1,no,0,TRUE
0,3,female,0,37,0,0,9.6,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,TRUE
1,1,female,0,16,0,0,86.5,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,1,male,1,18,1,0,108.9,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,FALSE
1,2,female,0,33,0,2,26.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,1,male,1,28,0,0,26.6,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,male,1,28,0,0,22.5,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,male,1,26,0,0,56.5,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
1,3,male,1,29,0,0,7.8,Q,1,Third,2,man,1,TRUE,Queenstown,1,yes,1,TRUE
0,3,male,1,28,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,male,1,36,0,0,26.3,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,TRUE
1,1,female,0,54,1,0,59.4,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
0,3,male,1,24,0,0,7.5,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,47,0,0,34.0,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,female,0,34,0,0,10.5,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,3,male,1,28,0,0,24.2,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
1,2,female,0,36,1,0,26.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,32,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,female,0,30,0,0,93.5,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,3,male,1,22,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,7.2,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
